price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
414 400 DT,vente,Appartement s+3 ref: mz902,Aïn Zaghouan, Tunis,,,148,,
436 800 DT,vente,Appartement s+3 dans une nouvelle résidence,Jardin De Carthage, Tunis,,,156,,
420 000 DT,vente,Appartement s+3  aux jardins de Carthage,Jardin De Carthage, Tunis,,,150,,
258 000 DT,vente,Un appartement s+2  aux jardins de Carthage,Jardin De Carthage, Tunis,,,86,,
339 000 DT,vente,Un appartement s+2,Jardin De Carthage, Tunis,,,113,,
246 400 DT,vente,Un appartement s+1 aux jardins de carthage,Jardin De Carthage, Tunis,,,77,,
230 400 DT,vente,Un appartement s+1,Jardin De Carthage, Tunis,,,,,
2 300 DT,location,Appartement s+3 au lac 2 ref MAL0180,Les Berges Du Lac, Tunis,,,,,
2 500 DT,location,Une étage de villa à carthage MEL0008,Carthage, Tunis,,,,,
800 DT,location,Appart. 3 pièces,Cité El Khadra, Tunis,1,4,100,,3
550 000 DT,vente,A vendre appartement 3+SS+jardin Jardins de Carthage,Jardin De Carthage, Tunis,2,4,175,,3
3 000 DT,location,Rez de chaussée s+2 avec jardin meublé à carthage Amilcar ref: MRCL0006,Carthage, Tunis,,,,,
250 000 DT,vente,Ventre f4 el omrane superieur,El Omrane supérieur, Tunis,1,,100,,4
,location,Pour organisme diplomatique,La Marsa, Tunis,,,,,
3 000 DT / Mois,location,Appartement Meublé s+3 à la marsa ref MAL0176,La Marsa, Tunis,,,,,
6 500 DT / Mois,location,LOCAL INDUSTR 850 M2 CHARGUIA,Cité El Khadra, Tunis,,,,,
390 000 DT,vente,A vendre joli S+4 au lac 1,La Marsa, Tunis,1,4,168,,4
1 600 DT / Mois,location,Appartement au lac 2 Ref: MAL0173,Les Berges Du Lac, Tunis,,,,,
1 500 DT / Mois,location,Rez-de-jardin S +1 au Golden Tulip,La Marsa, Tunis,1,2,70,,1
3 000 DT,location,Appartement Meublé au lac 2 Ref: MAL0172,Les Berges Du Lac, Tunis,,,,,
3 500 DT / Mois,location,Villa s+4 à gammarth avec Jardin Ref MVL0097,Gammarth, Tunis,,,,,
2 000 DT,location,Appartement avec jardin aux jardins de Carthage ref MAL0081,Jardin De Carthage, Tunis,,,,,
17 000 DT,location,Villa avec piscine en face Golf Gammarth,La Marsa, Tunis,2,8,750,1200,5
4 300 DT,location,Villa s+3 à gammarth avec Piscine Ref MVL0024,Gammarth, Tunis,,,,,
2 500 DT,location,Appartement s4 à usage médical  de 140m²,Aïn Zaghouan, Tunis,,,,,
2 500 DT,location,Appartement S+3 meublé au Golden Tulip,La Marsa, Tunis,2,4,140,,3
2 000 DT,location,Appartement s4 à usage médical,Aïn Zaghouan, Tunis,,,115,,
1 925 DT,location,Appartement  s4 à usage médical,Aïn Zaghouan, Tunis,,,110,,
2 000 DT,location,Appartement à usage médical de 112m²,Aïn Zaghouan, Tunis,,,,,
910 DT,location,Appartement à usage médical,Aïn Zaghouan, Tunis,,,,,
4 300 DT,location,Local à ain zaghouan nord,Aïn Zaghouan, Tunis,,,,,
1 000 DT,location,Bureau h1 à ain zaghouan nord,Aïn Zaghouan, Tunis,,,,,
325 000 DT,vente,Appartement s+3,Aïn Zaghouan, Tunis,,,,,
2 000 DT,location,Appartement s+3 à la goulette,La Goulette, Tunis,,,,,
395 000 DT,vente,"Banlieu Nord Tunis, proche toutes commodités, à vendre Appartement S+3",Le Kram, Tunis,1,4,135,135,3
3 200 DT / Mois,location,Rez de jardin s+4 Marsa Nassim,La Marsa, Tunis,1,,,,
2 800 DT / Mois,location,Villa S +4 à la marsa,La Marsa, Tunis,2,5,250,,4
5 700 DT,location,Un local commercial de 140m2,Jardin De Carthage, Tunis,,,,,
4 000 DT,location,Un local commercial de 109m2,Aïn Zaghouan, Tunis,,,,,
1 500 DT,location,Un local commercial de 44m2 LCZ,Aïn Zaghouan, Tunis,,,,,
1 500 DT,location,Un local commercial de 44m2,Jardin De Carthage, Tunis,,,,,
600 DT,vente,Terrain de190m à la marsa,La Marsa, Tunis,,,,190,
3 000 DT,location,Duplex centre d'esthetique,La Marsa, Tunis,,,,,
4 000 DT,location,Rez de chaussée d'une villa,La Marsa, Tunis,,,,,
4 000 DT,location,Rez de chaussée d'une villa,La Marsa, Tunis,,,,,
120 000 DT,vente,Vente appartement à Tunis,El Ouardia, Tunis,1,3,90,90,3
10 000 DT,location,Eatge s+7 vide au lac 2 Ref:VL994,Les Berges Du Lac, Tunis,,,,,
4 200 DT,location,Villa s+5 à marsa corniche ref VL995,La Marsa, Tunis,,,,,
500 DT,vente,Eatge s+4 vide à la marsa cité des juges Ref MEL0003,La Marsa, Tunis,,,,,
5 000 DT,location,Appartement S2 Marsa Vue Mer ref: MAL143,La Marsa, Tunis,,,,,
